Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,5.320000,5.450000,5.320000,5.450000,-4.453733,46400
2016-12-13,5.390000,5.400000,5.390000,5.400000,-4.412873,20400
2016-12-14,5.340000,5.340000,5.300000,5.300000,-4.331154,19400
2016-12-15,5.520000,5.600000,5.520000,5.600000,-4.576313,38300
2016-12-16,5.590000,5.590000,5.590000,5.590000,-4.568142,85700
2016-12-19,5.540000,5.550000,5.540000,5.550000,-4.535454,600
2016-12-20,5.570000,5.600000,5.570000,5.600000,-4.576313,15400
2016-12-21,5.660000,5.670000,5.660000,5.670000,-4.633517,8100
2016-12-22,5.730000,5.770000,5.730000,5.770000,-4.715237,10600
2016-12-23,5.760000,5.790000,5.760000,5.760000,-4.707066,2500
2016-12-27,5.610000,5.610000,5.610000,5.610000,-4.584486,300
2016-12-28,5.610000,5.650000,5.610000,5.630000,-4.600830,7400
2016-12-29,5.700000,5.700000,5.580000,5.580000,-4.559969,4700
2016-12-30,5.650000,5.650000,5.650000,5.650000,-4.617174,500
2017-01-03,5.610000,5.650000,5.610000,5.650000,-4.617174,3000
2017-01-04,5.750000,5.880000,5.750000,5.880000,-4.805130,29500
2017-01-05,6.000000,6.160000,6.000000,6.100000,-4.984913,16600
2017-01-06,6.050000,6.050000,6.000000,6.000000,-4.903193,4300
2017-01-09,6.000000,6.000000,5.890000,6.000000,-4.903193,26700
2017-01-10,5.900000,5.900000,5.890000,5.890000,-4.813301,2500
2017-01-11,5.860000,5.880000,5.860000,5.880000,-4.805130,200
2017-01-12,5.880000,5.880000,5.880000,5.880000,-4.805130,0
2017-01-13,5.880000,5.880000,5.880000,5.880000,-4.805130,0
2017-01-17,5.840000,5.840000,5.800000,5.840000,-4.772441,800
2017-01-18,5.650000,5.850000,5.650000,5.850000,-4.780613,1000
2017-01-19,5.850000,5.850000,5.850000,5.850000,-4.780613,0
2017-01-20,5.860000,5.860000,5.860000,5.860000,-4.788785,400
2017-01-23,5.650000,5.780000,5.650000,5.780000,-4.723410,5100
2017-01-24,5.650000,5.650000,5.650000,5.650000,-4.617174,700
2017-01-25,5.650000,5.650000,5.510000,5.570000,-4.551798,8800
2017-01-26,5.530000,5.530000,5.530000,5.530000,-4.519110,2300
2017-01-27,5.530000,5.570000,5.530000,5.560000,-4.543625,2500
2017-01-30,5.540000,5.620000,5.530000,5.530000,-4.519110,4000
2017-01-31,5.750000,6.050000,5.750000,6.050000,-4.944053,55200
2017-02-01,6.040000,6.130000,6.040000,6.100000,-4.984913,12900
2017-02-02,6.050000,6.050000,5.990000,5.990000,-4.895021,1200
2017-02-03,6.020000,6.020000,5.970000,5.970000,-4.878677,32600
2017-02-06,5.910000,5.910000,5.910000,5.910000,-4.829645,1000
2017-02-07,5.900000,5.900000,5.900000,5.900000,-4.821473,1300
2017-02-08,5.900000,5.900000,5.900000,5.900000,-4.821473,0
2017-02-09,6.010000,6.050000,6.010000,6.050000,-4.944053,4700
2017-02-10,5.980000,6.100000,5.980000,6.100000,-4.984913,10600
2017-02-13,6.050000,6.100000,6.050000,6.100000,-4.984913,2500
2017-02-14,6.070000,6.070000,6.000000,6.000000,-4.903193,5100
2017-02-15,5.990000,6.060000,5.990000,6.020000,-4.919537,3700
2017-02-16,5.950000,5.950000,5.950000,5.950000,-4.862333,200
2017-02-17,5.900000,5.900000,5.900000,5.900000,-4.821473,200
2017-02-21,6.050000,6.100000,6.050000,6.050000,-4.944053,2200
2017-02-22,6.270000,6.310000,6.270000,6.310000,-5.156525,19700
2017-02-23,6.450000,6.450000,6.420000,6.420000,-5.246417,4900
2017-02-24,6.390000,6.390000,6.330000,6.330000,-5.172869,14100
2017-02-27,6.480000,6.610000,6.480000,6.500000,-5.311792,21000
2017-02-28,6.510000,6.510000,6.450000,6.450000,-5.270933,4200
2017-03-01,6.370000,6.450000,6.370000,6.400000,-5.230073,5600
2017-03-02,6.350000,6.350000,6.350000,6.350000,-5.189213,1000
2017-03-03,6.350000,6.350000,6.350000,6.350000,-5.189213,0
2017-03-06,6.300000,6.300000,6.240000,6.250000,-5.107492,19100
2017-03-07,6.250000,6.250000,6.250000,6.250000,-5.107492,0
2017-03-08,6.280000,6.380000,6.280000,6.280000,-5.132009,6600
2017-03-09,6.280000,6.280000,6.280000,6.280000,-5.132009,0
2017-03-10,6.350000,6.350000,6.350000,6.350000,-5.189213,1000
2017-03-13,6.350000,6.350000,6.350000,6.350000,-5.189213,0
2017-03-14,6.350000,6.350000,6.350000,6.350000,-5.189213,0
2017-03-15,6.200000,6.200000,6.200000,6.200000,-5.066633,6500
2017-03-16,6.340000,6.340000,6.300000,6.300000,-5.148353,4000
2017-03-17,6.150000,6.190000,6.150000,6.190000,-5.058461,1100
2017-03-20,6.190000,6.190000,6.190000,6.190000,-5.058461,0
2017-03-21,6.190000,6.190000,6.190000,6.190000,-5.058461,0
2017-03-22,6.190000,6.190000,6.100000,6.120000,-5.001257,3800
2017-03-23,6.120000,6.120000,6.120000,6.120000,-5.001257,1000
2017-03-24,6.040000,6.100000,6.040000,6.100000,-4.984913,6500
2017-03-27,6.100000,6.110000,6.100000,6.110000,-4.993085,1500
2017-03-28,6.110000,6.110000,6.110000,6.110000,-4.993085,0
2017-03-29,6.110000,6.110000,6.110000,6.110000,-5.030132,0
2017-03-30,6.030000,6.030000,6.030000,6.030000,-4.964271,200
2017-03-31,6.000000,6.030000,6.000000,6.010000,-4.947805,2700
2017-04-03,6.000000,6.000000,6.000000,6.000000,-4.939573,500
2017-04-04,6.000000,6.000000,6.000000,6.000000,-4.939573,100
2017-04-05,6.000000,6.000000,6.000000,6.000000,-4.939573,0
2017-04-06,6.100000,6.100000,6.100000,6.100000,-5.021899,500
2017-04-07,6.100000,6.100000,6.100000,6.100000,-5.021899,0
2017-04-10,6.100000,6.100000,6.100000,6.100000,-5.021899,0
2017-04-11,6.080000,6.120000,6.080000,6.080000,-5.005434,6300
2017-04-12,6.080000,6.080000,6.080000,6.080000,-5.005434,0
2017-04-13,5.910000,5.910000,5.790000,5.790000,-4.766688,1400
2017-04-17,5.790000,5.790000,5.790000,5.790000,-4.766688,100
2017-04-18,5.790000,5.790000,5.790000,5.790000,-4.766688,0
2017-04-19,5.910000,5.910000,5.910000,5.910000,-4.865479,500
2017-04-20,6.000000,6.000000,6.000000,6.000000,-4.939573,4000
2017-04-21,6.080000,6.110000,6.080000,6.110000,-5.030132,10800
2017-04-24,6.180000,6.200000,6.170000,6.200000,-5.104225,7100
2017-04-25,6.180000,6.180000,6.180000,6.180000,-5.087760,5200
2017-04-26,6.320000,6.360000,6.320000,6.320000,-5.203016,5700
2017-04-27,6.390000,6.390000,6.310000,6.310000,-5.194784,4800
2017-04-28,6.320000,6.350000,6.320000,6.340000,-5.219482,1800
2017-05-01,6.340000,6.340000,6.280000,6.290000,-5.178319,15200
2017-05-02,6.400000,6.430000,6.400000,6.400000,-5.268878,30600
2017-05-03,6.380000,6.380000,6.360000,6.360000,-5.235948,400
2017-05-04,6.330000,6.330000,6.330000,6.330000,-5.211249,1000
2017-05-05,6.330000,6.330000,6.330000,6.330000,-5.211249,0
2017-05-08,6.400000,6.400000,6.380000,6.380000,-5.252412,900
2017-05-09,6.300000,6.320000,6.300000,6.320000,-5.203016,3000
2017-05-10,6.710000,6.720000,6.650000,6.680000,-5.499391,68400
2017-05-11,6.720000,6.750000,6.720000,6.740000,-5.548787,19400
2017-05-12,6.740000,6.740000,6.740000,6.740000,-5.548787,0
2017-05-15,6.600000,6.600000,6.600000,6.600000,-5.433530,1000
2017-05-16,6.690000,6.700000,6.690000,6.700000,-5.515857,10400
2017-05-17,6.600000,6.600000,6.550000,6.550000,-5.392367,1100
2017-05-18,6.500000,6.500000,6.440000,6.500000,-5.351204,19800
2017-05-19,6.500000,6.550000,6.500000,6.550000,-5.392367,800
2017-05-22,6.580000,6.580000,6.480000,6.530000,-5.375902,17500
2017-05-23,6.390000,6.450000,6.390000,6.450000,-5.310040,11100
2017-05-24,6.450000,6.450000,6.450000,6.450000,-5.310040,0
2017-05-25,6.400000,6.400000,6.400000,6.400000,-5.268878,6400
2017-05-26,6.400000,6.400000,6.400000,6.400000,-5.268878,0
2017-05-30,6.450000,6.550000,6.450000,6.550000,-5.392367,35100
2017-05-31,6.440000,6.440000,6.440000,6.440000,-5.301808,1000
